frame_id,timestamp_sec,player_id,wrist_speed,forearm_angular_vel,is_visual_snap,arm,wrist_speed_px,snap_peak_frame
69,2.76,Player_Far,0.00978,24.006,0,left,7.04,
70,2.8,Player_Near,0.04954,36.714,0,left,35.67,
70,2.8,Player_Far,0.01415,37.891,0,left,10.19,
71,2.84,Player_Near,0.0412,32.055,0,left,29.67,
71,2.84,Player_Far,0.02137,27.909,0,left,15.39,
72,2.88,Player_Near,0.09927,28.527,0,left,71.47,
72,2.88,Player_Far,0.00273,2.387,0,left,1.97,
73,2.92,Player_Near,0.01097,105.674,0,left,7.9,
73,2.92,Player_Far,0.0136,31.738,0,left,9.79,
74,2.96,Player_Near,0.09054,32.693,0,right,65.19,
74,2.96,Player_Far,0.0036,3.755,0,left,2.59,
75,3.0,Player_Near,0.06513,86.52,0,right,46.9,
75,3.0,Player_Far,0.01548,39.075,0,left,11.15,
76,3.04,Player_Near,0.30011,110.646,0,right,216.08,
76,3.04,Player_Far,0.01603,23.005,0,left,11.54,
77,3.08,Player_Near,0.0345,419.91,0,right,24.84,
77,3.08,Player_Far,0.0128,14.48,0,left,9.22,
78,3.12,Player_Near,0.08469,171.403,0,right,60.97,
78,3.12,Player_Far,0.01547,23.353,0,left,11.14,
79,3.16,Player_Near,0.16569,359.976,0,right,119.3,
79,3.16,Player_Far,0.0261,4.244,0,left,18.79,
80,3.2,Player_Near,0.03227,6.436,0,right,23.23,
80,3.2,Player_Far,0.01433,39.027,0,left,10.32,
81,3.24,Player_Near,0.13115,87.787,0,right,94.43,
81,3.24,Player_Far,0.03944,32.404,0,left,28.4,
82,3.28,Player_Near,0.00772,111.574,0,right,5.56,
82,3.28,Player_Far,0.00557,16.187,0,left,4.01,
83,3.32,Player_Near,0.20742,58.588,0,left,149.34,
83,3.32,Player_Far,0.00173,4.583,0,left,1.24,
84,3.36,Player_Near,0.35645,3.698,0,left,256.65,
84,3.36,Player_Far,0.00142,5.8,0,left,1.02,
85,3.4,Player_Near,0.58833,47.903,0,left,423.6,
85,3.4,Player_Far,0.02269,26.456,0,left,16.33,
86,3.44,Player_Near,0.79832,101.325,0,left,574.79,
86,3.44,Player_Far,0.00383,4.815,0,left,2.76,
87,3.48,Player_Near,0.92585,50.996,0,right,666.61,
87,3.48,Player_Far,0.00737,9.716,0,left,5.31,
88,3.52,Player_Near,0.53259,7.89,0,right,383.46,
88,3.52,Player_Far,0.03652,7.871,0,left,26.3,
89,3.56,Player_Near,0.84977,279.045,0,right,611.84,
89,3.56,Player_Far,0.02655,19.481,0,left,19.12,
90,3.6,Player_Near,1.48154,323.507,0,right,1066.71,
90,3.6,Player_Far,0.05498,26.13,0,left,39.58,
91,3.64,Player_Near,0.5926,378.592,0,right,426.67,
91,3.64,Player_Far,0.0014,54.883,0,left,1.01,
92,3.68,Player_Near,0.98136,116.049,1,right,706.58,90
92,3.68,Player_Far,0.01127,3.819,0,left,8.12,
93,3.72,Player_Near,1.09407,313.141,0,right,787.73,
93,3.72,Player_Far,0.03007,34.371,0,left,21.65,
94,3.76,Player_Near,0.11079,519.013,0,right,79.77,
94,3.76,Player_Far,0.01534,36.295,0,left,11.04,
95,3.8,Player_Near,0.22686,662.283,0,right,163.34,
95,3.8,Player_Far,0.01929,40.241,0,left,13.89,
96,3.84,Player_Near,0.04183,233.471,0,right,30.12,
96,3.84,Player_Far,0.04093,42.757,0,left,29.47,
97,3.88,Player_Near,0.44501,38.548,0,right,320.41,
97,3.88,Player_Far,0.00709,49.658,0,left,5.11,
98,3.92,Player_Near,0.35169,478.316,0,right,253.22,
98,3.92,Player_Far,0.01775,55.022,0,left,12.78,
99,3.96,Player_Near,0.42179,173.311,0,right,303.69,
99,3.96,Player_Far,0.04193,13.671,0,left,30.19,
100,4.0,Player_Near,0.43963,173.669,0,right,316.53,
100,4.0,Player_Far,0.01965,101.568,0,left,14.15,
101,4.04,Player_Near,0.47,149.571,0,right,338.4,
101,4.04,Player_Far,0.03396,85.798,0,left,24.45,
102,4.08,Player_Near,0.25165,16.867,0,right,181.19,
102,4.08,Player_Far,0.06735,48.382,0,left,48.49,
103,4.12,Player_Near,0.24168,28.836,0,right,174.01,
103,4.12,Player_Far,0.03693,27.168,0,left,26.59,
104,4.16,Player_Near,0.25616,18.876,0,right,184.44,
104,4.16,Player_Far,0.05226,170.208,0,left,37.63,
105,4.2,Player_Near,0.0,0.0,0,right,0.0,
105,4.2,Player_Far,0.04686,16.883,0,left,33.74,
106,4.24,Player_Near,0.0,0.0,0,right,0.0,
106,4.24,Player_Far,0.05513,101.219,0,left,39.69,
107,4.28,Player_Near,0.0,0.0,0,right,0.0,
107,4.28,Player_Far,0.01854,112.313,0,left,13.35,
108,4.32,Player_Near,0.0,0.0,0,right,0.0,
108,4.32,Player_Far,0.02926,72.334,0,left,21.07,
109,4.36,Player_Near,0.0,0.0,0,left,0.0,
109,4.36,Player_Far,0.00609,190.244,0,left,4.38,
110,4.4,Player_Near,0.0,0.0,0,left,0.0,
110,4.4,Player_Far,0.0314,190.314,0,left,22.61,
111,4.44,Player_Near,0.0,0.0,0,none,0.0,
111,4.44,Player_Far,0.01941,35.033,0,left,13.97,
112,4.48,Player_Near,0.0,0.0,0,none,0.0,
112,4.48,Player_Far,0.0067,19.433,0,left,4.82,
113,4.52,Player_Near,0.0,0.0,0,none,0.0,
113,4.52,Player_Far,0.0214,120.467,0,left,15.41,
114,4.56,Player_Near,0.0,0.0,0,none,0.0,
114,4.56,Player_Far,0.06427,183.061,0,left,46.27,
115,4.6,Player_Near,0.0,0.0,0,none,0.0,
115,4.6,Player_Far,0.00261,77.527,0,left,1.88,
116,4.64,Player_Near,0.0,0.0,0,none,0.0,
116,4.64,Player_Far,0.08727,230.998,0,left,62.84,
117,4.68,Player_Near,0.0,0.0,0,none,0.0,
117,4.68,Player_Far,0.06549,27.818,0,left,47.16,
118,4.72,Player_Near,0.0,0.0,0,none,0.0,
118,4.72,Player_Far,0.03967,71.259,0,left,28.56,
119,4.76,Player_Near,0.0,0.0,0,none,0.0,
119,4.76,Player_Far,0.02909,133.218,0,left,20.95,
120,4.8,Player_Near,0.0,0.0,0,none,0.0,
120,4.8,Player_Far,0.00574,25.139,0,left,4.13,
121,4.84,Player_Near,0.0,0.0,0,none,0.0,
121,4.84,Player_Far,0.10024,269.507,0,left,72.17,
122,4.88,Player_Near,0.0,0.0,0,none,0.0,
122,4.88,Player_Far,0.06155,125.398,0,left,44.32,
123,4.92,Player_Near,0.0,0.0,0,none,0.0,
123,4.92,Player_Far,0.05559,135.227,0,left,40.02,
124,4.96,Player_Near,0.0,0.0,0,none,0.0,
124,4.96,Player_Far,0.1133,293.187,0,left,81.58,
125,5.0,Player_Near,0.0,0.0,0,none,0.0,
125,5.0,Player_Far,0.03292,63.491,0,left,23.7,
126,5.04,Player_Near,0.0,0.0,0,none,0.0,
126,5.04,Player_Far,0.02337,44.408,0,left,16.83,
127,5.08,Player_Near,0.0,0.0,0,none,0.0,
127,5.08,Player_Far,0.00698,46.649,0,left,5.03,
128,5.12,Player_Near,0.0,0.0,0,none,0.0,
128,5.12,Player_Far,0.04342,151.573,0,left,31.26,
129,5.16,Player_Near,0.0,0.0,0,none,0.0,
129,5.16,Player_Far,0.00624,118.988,0,left,4.49,
130,5.2,Player_Near,0.0,0.0,0,none,0.0,
130,5.2,Player_Far,0.04468,4.29,0,left,32.17,
131,5.24,Player_Near,0.0,0.0,0,none,0.0,
131,5.24,Player_Far,0.01115,48.021,0,left,8.02,
132,5.28,Player_Near,0.34598,41.676,0,left,249.11,
132,5.28,Player_Far,0.00774,71.754,0,left,5.57,
133,5.32,Player_Near,0.11544,22.199,0,left,83.11,
133,5.32,Player_Far,0.01922,10.217,0,left,13.84,
134,5.36,Player_Near,0.37999,38.006,0,left,273.6,
134,5.36,Player_Far,0.0451,125.519,0,left,32.47,
135,5.4,Player_Near,0.08105,33.377,0,left,58.36,
135,5.4,Player_Far,0.00898,59.949,0,left,6.46,
136,5.44,Player_Near,0.14779,17.792,0,left,106.41,
136,5.44,Player_Far,0.0349,10.113,0,left,25.13,
137,5.48,Player_Near,0.07602,31.012,0,left,54.74,
137,5.48,Player_Far,0.01571,57.042,0,left,11.31,
138,5.52,Player_Near,0.08473,35.669,0,left,61.01,
138,5.52,Player_Far,0.04075,19.698,0,left,29.34,
139,5.56,Player_Near,0.15209,18.429,0,left,109.5,
139,5.56,Player_Far,0.02932,33.376,0,left,21.11,
140,5.6,Player_Near,0.25699,60.854,0,left,185.04,
140,5.6,Player_Far,0.05581,0.0,0,right,40.18,
141,5.64,Player_Near,0.24532,29.634,0,left,176.63,
141,5.64,Player_Far,0.07773,9.494,0,right,55.97,
142,5.68,Player_Near,0.15417,15.783,0,left,111.0,
142,5.68,Player_Far,0.0016,15.561,0,right,1.15,
143,5.72,Player_Near,0.29229,0.579,0,right,210.45,
143,5.72,Player_Far,0.03179,18.218,0,right,22.89,
144,5.76,Player_Near,0.20417,5.376,0,right,147.0,
144,5.76,Player_Far,0.01996,2.238,0,right,14.37,
145,5.8,Player_Near,0.07341,4.836,0,right,52.86,
145,5.8,Player_Far,0.03011,81.146,0,right,21.68,
146,5.84,Player_Near,0.21344,13.931,0,right,153.68,
146,5.84,Player_Far,0.00692,54.922,0,right,4.98,
147,5.88,Player_Near,0.27903,5.206,0,right,200.9,
147,5.88,Player_Far,0.01593,97.471,0,right,11.47,
148,5.92,Player_Near,0.08697,45.528,0,right,62.62,
148,5.92,Player_Far,0.12221,32.615,0,right,87.99,
149,5.96,Player_Near,0.29336,25.811,0,right,211.22,
149,5.96,Player_Far,0.03676,20.208,0,right,26.46,
150,6.0,Player_Near,0.22752,20.951,0,right,163.81,
150,6.0,Player_Far,0.04511,10.671,0,right,32.48,
151,6.04,Player_Near,0.34315,16.564,0,right,247.07,
151,6.04,Player_Far,0.00369,40.787,0,right,2.66,
152,6.08,Player_Near,0.16616,68.138,0,right,119.64,
152,6.08,Player_Far,0.01436,1.578,0,right,10.34,
153,6.12,Player_Near,0.36006,15.783,0,right,259.24,
153,6.12,Player_Far,0.15721,5.784,0,right,113.19,
154,6.16,Player_Near,0.06676,0.936,0,right,48.06,
154,6.16,Player_Far,0.01782,3.958,0,right,12.83,
155,6.2,Player_Near,0.23283,9.896,0,right,167.64,
155,6.2,Player_Far,0.09815,9.144,0,right,70.67,
156,6.24,Player_Near,0.2198,5.861,0,right,158.26,
156,6.24,Player_Far,0.10733,0.0,0,right,77.28,
157,6.28,Player_Near,0.09635,0.963,0,right,69.37,
157,6.28,Player_Far,0.1713,203.455,0,left,123.33,
158,6.32,Player_Near,0.16419,8.566,0,left,118.22,
158,6.32,Player_Far,0.04661,315.193,0,left,33.56,
159,6.36,Player_Near,0.04932,5.324,0,left,35.51,
159,6.36,Player_Far,0.0,0.0,0,left,0.0,
160,6.4,Player_Near,0.22095,6.486,0,right,159.09,
160,6.4,Player_Far,0.0,0.0,0,left,0.0,
161,6.44,Player_Near,0.13357,96.509,0,right,96.17,
161,6.44,Player_Far,0.49976,205.588,0,left,359.83,
162,6.48,Player_Near,0.14346,85.54,0,right,103.29,
162,6.48,Player_Far,0.05227,81.634,0,left,37.64,
163,6.52,Player_Near,0.08312,12.441,0,right,59.85,
163,6.52,Player_Far,0.03452,13.508,0,left,24.86,
164,6.56,Player_Near,0.21038,307.945,0,right,151.47,
164,6.56,Player_Far,0.61463,0.0,0,right,442.53,
165,6.6,Player_Near,0.18477,672.274,0,right,133.04,
165,6.6,Player_Far,0.16288,529.624,0,right,117.27,
166,6.64,Player_Near,0.12521,847.12,0,right,90.15,
166,6.64,Player_Far,0.04384,253.141,0,right,31.56,
167,6.68,Player_Near,0.16236,1429.73,0,right,116.9,
167,6.68,Player_Far,0.07625,42.705,0,right,54.9,
168,6.72,Player_Near,0.10696,0.0,0,right,77.01,
168,6.72,Player_Far,0.12344,60.53,0,right,88.88,
169,6.76,Player_Near,0.20923,3714.563,0,left,150.64,
169,6.76,Player_Far,0.07001,124.449,0,right,50.41,
170,6.8,Player_Near,0.51216,0.0,0,right,368.75,
170,6.8,Player_Far,0.08681,51.652,0,right,62.5,
171,6.84,Player_Near,0.24194,0.0,0,right,174.2,
171,6.84,Player_Far,0.07564,74.429,0,right,54.46,
172,6.88,Player_Near,0.0,0.0,0,right,0.0,
172,6.88,Player_Far,0.03031,90.708,0,right,21.82,
173,6.92,Player_Near,0.0,0.0,0,right,0.0,
173,6.92,Player_Far,0.04562,150.902,0,right,32.84,
174,6.96,Player_Near,1.22417,568.345,0,left,881.4,
174,6.96,Player_Far,0.0711,38.445,0,right,51.19,
175,7.0,Player_Near,0.31734,223.131,0,left,228.49,
175,7.0,Player_Far,0.06436,130.305,0,left,46.34,
176,7.04,Player_Near,0.7169,271.433,1,left,516.17,174
176,7.04,Player_Far,0.03229,20.856,0,left,23.25,
177,7.08,Player_Near,0.46717,100.86,0,left,336.36,
177,7.08,Player_Far,0.02347,77.042,0,left,16.9,
178,7.12,Player_Near,0.23824,73.582,0,left,171.53,
178,7.12,Player_Far,0.02182,50.167,0,left,15.71,
179,7.16,Player_Near,0.18156,51.003,0,left,130.73,
179,7.16,Player_Far,0.017,37.21,0,left,12.24,
180,7.2,Player_Near,0.21876,32.599,0,left,157.5,
180,7.2,Player_Far,0.0287,102.338,0,right,20.66,
181,7.24,Player_Near,0.31957,32.664,0,left,230.09,
181,7.24,Player_Far,0.06945,38.52,0,left,50.01,
182,7.28,Player_Near,0.34903,40.887,0,left,251.3,
182,7.28,Player_Far,0.07769,12.306,0,left,55.94,
183,7.32,Player_Near,0.42785,369.563,0,left,308.05,
183,7.32,Player_Far,0.05201,76.577,0,left,37.45,
184,7.36,Player_Near,0.52191,385.766,0,left,375.78,
184,7.36,Player_Far,0.01884,56.866,0,left,13.57,
185,7.4,Player_Near,0.48817,209.537,0,left,351.48,
185,7.4,Player_Far,0.00493,1.003,0,left,3.55,
186,7.44,Player_Near,0.0,0.0,0,left,0.0,
186,7.44,Player_Far,0.04071,24.151,0,left,29.31,
187,7.48,Player_Near,0.0,0.0,0,left,0.0,
187,7.48,Player_Far,0.01332,1.611,0,left,9.59,
188,7.52,Player_Near,0.66712,86.538,0,right,480.33,
188,7.52,Player_Far,0.00166,30.834,0,left,1.2,
189,7.56,Player_Near,0.55646,88.016,0,right,400.65,
189,7.56,Player_Far,0.01102,9.401,0,left,7.93,
190,7.6,Player_Near,0.09567,17.83,0,right,68.88,
190,7.6,Player_Far,0.05244,160.806,0,right,37.75,
191,7.64,Player_Near,0.19547,977.937,0,right,140.74,
191,7.64,Player_Far,0.05403,0.68,0,right,38.9,
192,7.68,Player_Near,0.03854,1015.813,0,right,27.75,
192,7.68,Player_Far,0.01811,72.446,0,right,13.04,
193,7.72,Player_Near,0.13118,391.861,0,right,94.45,
193,7.72,Player_Far,0.01272,5.058,0,right,9.16,
194,7.76,Player_Near,0.16606,141.099,0,right,119.56,
194,7.76,Player_Far,0.00542,69.428,0,right,3.9,
195,7.8,Player_Near,0.0,0.0,0,right,0.0,
195,7.8,Player_Far,0.02779,42.014,0,right,20.01,
196,7.84,Player_Near,0.0,0.0,0,right,0.0,
196,7.84,Player_Far,0.01714,26.75,0,right,12.34,
197,7.88,Player_Near,0.0,0.0,0,right,0.0,
197,7.88,Player_Far,0.01532,1.851,0,right,11.03,
198,7.92,Player_Near,0.0,0.0,0,right,0.0,
198,7.92,Player_Far,0.03415,161.223,0,right,24.59,
199,7.96,Player_Near,0.0,0.0,0,none,0.0,
199,7.96,Player_Far,0.04401,20.016,0,left,31.69,
200,8.0,Player_Near,0.0,0.0,0,none,0.0,
200,8.0,Player_Far,0.0073,10.024,0,left,5.26,
201,8.04,Player_Near,0.0,0.0,0,none,0.0,
201,8.04,Player_Far,0.0093,30.34,0,left,6.7,
202,8.08,Player_Near,0.0,0.0,0,none,0.0,
202,8.08,Player_Far,0.00638,5.9,0,left,4.59,
203,8.12,Player_Near,0.0,0.0,0,none,0.0,
203,8.12,Player_Far,0.00202,4.401,0,left,1.46,
204,8.16,Player_Near,0.0,0.0,0,none,0.0,
204,8.16,Player_Far,0.01745,8.319,0,right,12.56,
205,8.2,Player_Near,0.0,0.0,0,none,0.0,
205,8.2,Player_Far,0.00712,17.666,0,right,5.13,
206,8.24,Player_Near,0.0,0.0,0,none,0.0,
206,8.24,Player_Far,0.01361,50.044,0,right,9.8,
207,8.28,Player_Near,0.0,0.0,0,none,0.0,
207,8.28,Player_Far,0.01057,9.331,0,right,7.61,
208,8.32,Player_Near,0.0,0.0,0,none,0.0,
208,8.32,Player_Far,0.01696,77.387,0,right,12.21,
209,8.36,Player_Near,0.0,0.0,0,none,0.0,
209,8.36,Player_Far,0.02793,41.999,0,right,20.11,
210,8.4,Player_Near,0.0,0.0,0,none,0.0,
210,8.4,Player_Far,0.01678,37.805,0,right,12.08,
211,8.44,Player_Near,0.0,0.0,0,none,0.0,
211,8.44,Player_Far,0.01717,24.14,0,right,12.36,
212,8.48,Player_Near,0.0,0.0,0,none,0.0,
212,8.48,Player_Far,0.00215,93.298,0,right,1.55,
213,8.52,Player_Near,0.0,0.0,0,none,0.0,
213,8.52,Player_Far,0.03901,41.196,0,right,28.09,
214,8.56,Player_Near,0.0,0.0,0,none,0.0,
214,8.56,Player_Far,0.00801,45.914,0,right,5.77,
215,8.6,Player_Near,0.0,0.0,0,none,0.0,
215,8.6,Player_Far,0.04083,6.047,0,right,29.4,
216,8.64,Player_Near,0.0,0.0,0,none,0.0,
216,8.64,Player_Far,0.0579,60.897,0,left,41.69,
217,8.68,Player_Near,0.0,0.0,0,none,0.0,
217,8.68,Player_Far,0.02009,22.029,0,left,14.46,
218,8.72,Player_Near,0.0,0.0,0,none,0.0,
218,8.72,Player_Far,0.05084,30.77,0,left,36.61,
219,8.76,Player_Near,0.0,0.0,0,none,0.0,
219,8.76,Player_Far,0.04294,57.589,0,left,30.92,
220,8.8,Player_Near,0.0,0.0,0,none,0.0,
220,8.8,Player_Far,0.04267,26.028,0,left,30.72,
221,8.84,Player_Near,0.0,0.0,0,none,0.0,
221,8.84,Player_Far,0.01525,10.45,0,left,10.98,
222,8.88,Player_Near,0.0,0.0,0,none,0.0,
222,8.88,Player_Far,0.00499,22.207,0,left,3.59,
223,8.92,Player_Near,0.61282,42.73,0,left,441.23,
223,8.92,Player_Far,0.00952,7.151,0,right,6.86,
224,8.96,Player_Near,0.05303,66.27,0,left,38.18,
224,8.96,Player_Far,0.01339,48.829,0,right,9.64,
225,9.0,Player_Near,0.29189,109.813,0,left,210.16,
225,9.0,Player_Far,0.01877,22.65,0,right,13.52,
226,9.04,Player_Near,0.0979,137.154,0,left,70.48,
226,9.04,Player_Far,0.00939,26.828,0,left,6.76,
227,9.08,Player_Near,0.08082,543.553,0,left,58.19,
227,9.08,Player_Far,0.01743,4.889,0,left,12.55,
228,9.12,Player_Near,0.16701,2086.521,0,left,120.25,
228,9.12,Player_Far,0.02372,8.104,0,left,17.08,
229,9.16,Player_Near,0.17127,434.764,0,left,123.32,
229,9.16,Player_Far,0.04796,15.255,0,right,34.53,
230,9.2,Player_Near,0.12709,198.197,0,left,91.51,
230,9.2,Player_Far,0.06429,9.811,0,left,46.29,
231,9.24,Player_Near,0.16555,683.208,0,left,119.19,
231,9.24,Player_Far,0.01211,10.111,0,left,8.72,
232,9.28,Player_Near,0.24422,593.352,0,left,175.84,
232,9.28,Player_Far,0.01253,8.785,0,left,9.02,
233,9.32,Player_Near,0.2114,253.164,0,left,152.21,
233,9.32,Player_Far,0.0098,11.322,0,left,7.06,
234,9.36,Player_Near,0.27761,49.746,0,left,199.88,
234,9.36,Player_Far,0.04009,8.137,0,left,28.86,
235,9.4,Player_Near,0.7307,4434.045,0,left,526.1,
235,9.4,Player_Far,0.037,7.483,0,left,26.64,
236,9.44,Player_Near,1.12267,1176.16,0,left,808.32,
236,9.44,Player_Far,0.01844,28.391,0,left,13.28,
237,9.48,Player_Near,0.93358,866.498,0,left,672.18,
237,9.48,Player_Far,0.02858,3.895,0,left,20.58,
238,9.52,Player_Near,0.63766,199.964,0,left,459.11,
238,9.52,Player_Far,0.03244,16.655,0,left,23.36,
239,9.56,Player_Near,0.0,0.0,0,left,0.0,
239,9.56,Player_Far,0.04013,120.558,0,right,28.89,
240,9.6,Player_Near,0.0,0.0,0,left,0.0,
240,9.6,Player_Far,0.07791,176.146,0,left,56.1,
241,9.64,Player_Near,0.42639,13.002,0,left,307.0,
241,9.64,Player_Far,0.0884,169.157,0,left,63.65,
242,9.68,Player_Near,0.32205,115.511,0,left,231.87,
242,9.68,Player_Far,0.06093,94.913,0,left,43.87,
243,9.72,Player_Near,0.54056,29.632,0,left,389.2,
243,9.72,Player_Far,0.03184,75.102,0,left,22.92,
244,9.76,Player_Near,0.27645,9.067,0,left,199.05,
244,9.76,Player_Far,0.04289,62.273,0,left,30.88,
245,9.8,Player_Near,0.22378,8.748,0,left,161.12,
245,9.8,Player_Far,0.04256,52.065,0,left,30.64,
246,9.84,Player_Near,0.18212,6.394,0,left,131.13,
246,9.84,Player_Far,0.03189,47.684,0,left,22.96,
247,9.88,Player_Near,0.25253,7.949,0,left,181.82,
247,9.88,Player_Far,0.00306,20.706,0,right,2.2,
248,9.92,Player_Near,0.27079,16.114,0,right,194.97,
248,9.92,Player_Far,0.00382,1.432,0,right,2.75,
249,9.96,Player_Near,0.11868,45.637,0,right,85.45,
249,9.96,Player_Far,0.01673,90.806,0,right,12.04,
250,10.0,Player_Near,0.26019,126.604,0,right,187.33,
250,10.0,Player_Far,0.01358,49.831,0,left,9.78,
251,10.04,Player_Near,0.08118,135.467,0,right,58.45,
251,10.04,Player_Far,0.06915,132.119,0,left,49.79,
252,10.08,Player_Near,0.13979,219.484,0,right,100.65,
252,10.08,Player_Far,0.05117,90.751,0,left,36.84,
253,10.12,Player_Near,0.31168,185.39,0,right,224.41,
253,10.12,Player_Far,0.03719,70.317,0,left,26.78,
254,10.16,Player_Near,0.30926,80.499,0,right,222.67,
254,10.16,Player_Far,0.02896,57.923,0,left,20.85,
255,10.2,Player_Near,0.64229,53.882,0,right,462.45,
255,10.2,Player_Far,0.01001,45.361,0,left,7.21,
